date,category,complaints
2010-02-05,Homeless/Shelter,1
2010-02-05,Plumbing,314
2010-02-05,Snow/Ice,7
2010-02-05,Water/Leak,192
2010-02-06,Boilers,4
2010-02-06,Heating/Hot Water,1259
2010-02-06,Homeless/Shelter,2
2010-02-06,Plumbing,192
2010-02-06,Snow/Ice,32
2010-02-06,Water/Leak,77
2010-02-07,Boilers,5
2010-02-07,Heating/Hot Water,1190
2010-02-07,Homeless/Shelter,1
2010-02-07,Plumbing,198
2010-02-07,Snow/Ice,60
2010-02-07,Water/Leak,102
2010-02-08,Boilers,15
2010-02-08,Heating/Hot Water,1274
2010-02-08,Homeless/Shelter,2
2010-02-08,Plumbing,478
2010-02-08,Snow/Ice,24
2010-02-08,Water/Leak,128
2010-02-09,Boilers,11
2010-02-09,Heating/Hot Water,930
2010-02-09,Homeless/Shelter,3
2010-02-09,Plumbing,429
2010-02-09,Snow/Ice,13
2010-02-09,Water/Leak,146
2010-02-10,Boilers,5
2010-02-10,Heating/Hot Water,1020
2010-02-10,Plumbing,291
2010-02-10,Snow/Ice,10
2010-02-10,Water/Leak,28
2010-02-11,Boilers,14
2010-02-11,Heating/Hot Water,676
2010-02-11,Homeless/Shelter,1
2010-02-11,Plumbing,363
2010-02-11,Snow/Ice,1232
2010-02-11,Water/Leak,100
2010-02-12,Boilers,7
2010-02-12,Heating/Hot Water,771
2010-02-12,Homeless/Shelter,5
2010-02-12,Plumbing,430
2010-02-12,Snow/Ice,1761
2010-02-12,Water/Leak,54
2010-02-13,Boilers,8
2010-02-13,Heating/Hot Water,853
2010-02-13,Plumbing,197
2010-02-13,Snow/Ice,984
2010-02-13,Water/Leak,48
2010-02-14,Boilers,5
2010-02-14,Heating/Hot Water,645
2010-02-14,Plumbing,127
2010-02-14,Snow/Ice,484
2010-02-14,Water/Leak,72
2010-02-15,Boilers,8
2010-02-15,Heating/Hot Water,766
2010-02-15,Homeless/Shelter,2
2010-02-15,Plumbing,262
2010-02-15,Snow/Ice,325
2010-02-15,Water/Leak,65
2010-02-16,Boilers,9
2010-02-16,Heating/Hot Water,795
2010-02-16,Homeless/Shelter,1
2010-02-16,Plumbing,454
2010-02-16,Snow/Ice,298
2010-02-16,Water/Leak,72
2010-02-17,Boilers,6
2010-02-17,Heating/Hot Water,822
2010-02-17,Homeless/Shelter,3
2010-02-17,Plumbing,454
2010-02-17,Snow/Ice,1386
2010-02-17,Water/Leak,84
2010-02-18,Boilers,10
2010-02-18,Heating/Hot Water,719
2010-02-18,Homeless/Shelter,3
2010-02-18,Plumbing,350
2010-02-18,Snow/Ice,399
2010-02-18,Water/Leak,71
2010-02-19,Boilers,9
2010-02-19,Heating/Hot Water,749
2010-02-19,Homeless/Shelter,2
2010-02-19,Plumbing,327
2010-02-19,Snow/Ice,170
2010-02-19,Water/Leak,83
2010-02-20,Boilers,5
2010-02-20,Heating/Hot Water,615
2010-02-20,Plumbing,220
2010-02-20,Snow/Ice,35
2010-02-20,Water/Leak,71
2010-02-21,Boilers,11
2010-02-21,Heating/Hot Water,537
2010-02-21,Homeless/Shelter,3
2010-02-21,Plumbing,165
2010-02-21,Snow/Ice,21
2010-02-21,Water/Leak,68
2010-02-22,Boilers,13
2010-02-22,Heating/Hot Water,805
2010-02-22,Homeless/Shelter,3
2010-02-22,Plumbing,451
2010-02-22,Snow/Ice,28
2010-02-22,Water/Leak,119
2010-02-23,Boilers,11
2010-02-23,Heating/Hot Water,859
2010-02-23,Homeless/Shelter,2
2010-02-23,Plumbing,518
2010-02-23,Snow/Ice,17
2010-02-23,Water/Leak,89
2010-02-24,Boilers,10
2010-02-24,Heating/Hot Water,794
2010-02-24,Homeless/Shelter,4
2010-02-24,Plumbing,406
2010-02-24,Snow/Ice,3
2010-02-24,Water/Leak,138
2010-02-25,Boilers,10
2010-02-25,Heating/Hot Water,888
2010-02-25,Homeless/Shelter,1
2010-02-25,Plumbing,558
2010-02-25,Snow/Ice,2
2010-02-25,Water/Leak,83
2010-02-26,Boilers,3
2010-02-26,Heating/Hot Water,949
2010-02-26,Plumbing,400
2010-02-26,Snow/Ice,5
2010-02-26,Water/Leak,61
2010-02-27,Boilers,6
2010-02-27,Heating/Hot Water,705
2010-02-27,Homeless/Shelter,1
2010-02-27,Plumbing,182
2010-02-27,Snow/Ice,813
2010-02-27,Water/Leak,59
2010-02-28,Boilers,5
2010-02-28,Heating/Hot Water,623
2010-02-28,Homeless/Shelter,2
2010-02-28,Plumbing,238
2010-02-28,Snow/Ice,335
2010-02-28,Water/Leak,48
2010-03-01,Boilers,10
2010-03-01,Heating/Hot Water,702
2010-03-01,Homeless/Shelter,4
2010-03-01,Plumbing,504
2010-03-01,Snow/Ice,202
2010-03-01,Water/Leak,131
2010-03-02,Boilers,13
2010-03-02,Heating/Hot Water,598
2010-03-02,Homeless/Shelter,4
2010-03-02,Plumbing,351
2010-03-02,Snow/Ice,58
2010-03-02,Water/Leak,106
2010-03-03,Boilers,9
2010-03-03,Heating/Hot Water,785
2010-03-03,Homeless/Shelter,5
2010-03-03,Plumbing,439
2010-03-03,Snow/Ice,5
2010-03-03,Water/Leak,118
2010-03-04,Boilers,10
2010-03-04,Heating/Hot Water,702
2010-03-04,Homeless/Shelter,5
2010-03-04,Plumbing,366
2010-03-04,Snow/Ice,3
2010-03-04,Water/Leak,117
2010-03-05,Boilers,6
2010-03-05,Heating/Hot Water,652
2010-03-05,Homeless/Shelter,4
2010-03-05,Plumbing,273
2010-03-05,Snow/Ice,2
2010-03-05,Water/Leak,109
2010-03-06,Boilers,3
2010-03-06,Heating/Hot Water,558
2010-03-06,Homeless/Shelter,4
2010-03-06,Plumbing,143
2010-03-06,Water/Leak,72
2010-03-07,Boilers,5
2010-03-07,Heating/Hot Water,412
2010-03-07,Homeless/Shelter,1
2010-03-07,Plumbing,140
2010-03-07,Water/Leak,54
2010-03-08,Boilers,9
2010-03-08,Heating/Hot Water,460
2010-03-08,Plumbing,389
2010-03-08,Water/Leak,150
2010-03-09,Boilers,4
2010-03-09,Heating/Hot Water,432
2010-03-09,Homeless/Shelter,6
2010-03-09,Plumbing,398
2010-03-09,Snow/Ice,1
2010-03-09,Water/Leak,155
2010-03-10,Boilers,14
2010-03-10,Heating/Hot Water,515
2010-03-10,Homeless/Shelter,1
2010-03-10,Plumbing,327
2010-03-10,Snow/Ice,1
2010-03-10,Water/Leak,206
2010-03-11,Boilers,8
2010-03-11,Heating/Hot Water,576
2010-03-11,Homeless/Shelter,6
2010-03-11,Plumbing,320
2010-03-11,Snow/Ice,1
2010-03-11,Water/Leak,191
2010-03-12,Boilers,7
2010-03-12,Heating/Hot Water,770
2010-03-12,Homeless/Shelter,2
2010-03-12,Plumbing,307
2010-03-12,Water/Leak,84
2010-03-13,Boilers,3
2010-03-13,Heating/Hot Water,970
2010-03-13,Homeless/Shelter,3
2010-03-13,Plumbing,633
2010-03-13,Water/Leak,50
2010-03-14,Boilers,3
2010-03-14,Heating/Hot Water,707
2010-03-14,Homeless/Shelter,1
2010-03-14,Plumbing,501
2010-03-14,Water/Leak,56
2010-03-15,Boilers,9
2010-03-15,Heating/Hot Water,785
2010-03-15,Homeless/Shelter,4
2010-03-15,Plumbing,940
2010-03-15,Water/Leak,124
2010-03-16,Boilers,8
2010-03-16,Heating/Hot Water,511
2010-03-16,Homeless/Shelter,3
2010-03-16,Plumbing,516
2010-03-16,Water/Leak,158
2010-03-17,Boilers,7
2010-03-17,Heating/Hot Water,325
2010-03-17,Homeless/Shelter,3
2010-03-17,Plumbing,435
2010-03-17,Water/Leak,154
2010-03-18,Boilers,13
2010-03-18,Heating/Hot Water,268
2010-03-18,Homeless/Shelter,7
2010-03-18,Plumbing,404
2010-03-18,Water/Leak,164
2010-03-19,Boilers,7
2010-03-19,Heating/Hot Water,238
2010-03-19,Homeless/Shelter,3
2010-03-19,Plumbing,361
2010-03-19,Snow/Ice,1
2010-03-19,Water/Leak,259
2010-03-20,Boilers,1
2010-03-20,Heating/Hot Water,206
2010-03-20,Homeless/Shelter,5
2010-03-20,Plumbing,193
2010-03-20,Water/Leak,98
2010-03-21,Boilers,4
2010-03-21,Heating/Hot Water,176
2010-03-21,Homeless/Shelter,2
2010-03-21,Plumbing,187
2010-03-21,Water/Leak,85
2010-03-22,Boilers,7
2010-03-22,Heating/Hot Water,442
2010-03-22,Homeless/Shelter,7
2010-03-22,Plumbing,579
2010-03-22,Water/Leak,100
2010-03-23,Boilers,6
2010-03-23,Heating/Hot Water,538
2010-03-23,Homeless/Shelter,6
2010-03-23,Plumbing,501
2010-03-23,Water/Leak,102
2010-03-24,Boilers,6
2010-03-24,Heating/Hot Water,593
2010-03-24,Homeless/Shelter,5
2010-03-24,Plumbing,398
2010-03-24,Water/Leak,155
2010-03-25,Boilers,2
2010-03-25,Heating/Hot Water,405
2010-03-25,Homeless/Shelter,2
2010-03-25,Plumbing,398
2010-03-25,Water/Leak,143
2010-03-26,Boilers,3
2010-03-26,Heating/Hot Water,827
2010-03-26,Homeless/Shelter,1
2010-03-26,Plumbing,308
2010-03-26,Water/Leak,118
2010-03-27,Boilers,7
2010-03-27,Heating/Hot Water,953
2010-03-27,Homeless/Shelter,3
2010-03-27,Plumbing,212
2010-03-27,Snow/Ice,2
2010-03-27,Water/Leak,110
2010-03-28,Boilers,6
2010-03-28,Heating/Hot Water,763
2010-03-28,Homeless/Shelter,3
2010-03-28,Plumbing,165
2010-03-28,Water/Leak,77
2010-03-29,Boilers,10
2010-03-29,Heating/Hot Water,625
2010-03-29,Homeless/Shelter,2
2010-03-29,Plumbing,773
2010-03-29,Water/Leak,114
2010-03-30,Boilers,7
2010-03-30,Heating/Hot Water,753
2010-03-30,Homeless/Shelter,7
2010-03-30,Plumbing,1609
2010-03-30,Water/Leak,138
2010-03-31,Boilers,4
2010-03-31,Heating/Hot Water,432
2010-03-31,Homeless/Shelter,6
2010-03-31,Plumbing,655
2010-03-31,Water/Leak,143
2010-04-01,Boilers,4
2010-04-01,Heating/Hot Water,268
2010-04-01,Homeless/Shelter,7
2010-04-01,Plumbing,365
2010-04-01,Water/Leak,152
2010-04-02,Boilers,4
2010-04-02,Heating/Hot Water,184
2010-04-02,Homeless/Shelter,1
2010-04-02,Plumbing,347
2010-04-02,Water/Leak,170
2010-04-03,Boilers,3
2010-04-03,Heating/Hot Water,252
2010-04-03,Homeless/Shelter,5
2010-04-03,Plumbing,191
2010-04-03,Water/Leak,62
2010-04-04,Boilers,3
2010-04-04,Heating/Hot Water,226
2010-04-04,Homeless/Shelter,4
2010-04-04,Plumbing,101
2010-04-04,Water/Leak,63
2010-04-05,Boilers,2
2010-04-05,Heating/Hot Water,183
2010-04-05,Homeless/Shelter,6
2010-04-05,Plumbing,441
2010-04-05,Water/Leak,162
2010-04-06,Boilers,3
2010-04-06,Heating/Hot Water,140
2010-04-06,Homeless/Shelter,7
2010-04-06,Plumbing,434
2010-04-06,Water/Leak,188
2010-04-07,Boilers,6
2010-04-07,Heating/Hot Water,134
2010-04-07,Homeless/Shelter,7
2010-04-07,Plumbing,359
2010-04-07,Water/Leak,180
2010-04-08,Boilers,4
2010-04-08,Heating/Hot Water,126
2010-04-08,Homeless/Shelter,4
2010-04-08,Plumbing,431
2010-04-08,Water/Leak,171
2010-04-09,Boilers,5
2010-04-09,Heating/Hot Water,185
2010-04-09,Homeless/Shelter,4
2010-04-09,Plumbing,350
2010-04-09,Water/Leak,150
2010-04-10,Boilers,5
2010-04-10,Heating/Hot Water,406
2010-04-10,Plumbing,200
2010-04-10,Water/Leak,75
2010-04-11,Boilers,4
2010-04-11,Heating/Hot Water,192
2010-04-11,Homeless/Shelter,4
2010-04-11,Plumbing,117
2010-04-11,Water/Leak,67
2010-04-12,Boilers,5
2010-04-12,Heating/Hot Water,226
2010-04-12,Homeless/Shelter,8
2010-04-12,Plumbing,412
2010-04-12,Water/Leak,152
2010-04-13,Boilers,8
2010-04-13,Heating/Hot Water,412
2010-04-13,Homeless/Shelter,7
2010-04-13,Plumbing,404
2010-04-13,Water/Leak,284
2010-04-14,Boilers,1
2010-04-14,Heating/Hot Water,318
2010-04-14,Homeless/Shelter,6
2010-04-14,Plumbing,309
2010-04-14,Water/Leak,186
2010-04-15,Boilers,1
2010-04-15,Heating/Hot Water,207
2010-04-15,Homeless/Shelter,4
2010-04-15,Plumbing,326
2010-04-15,Water/Leak,186
2010-04-16,Boilers,4
2010-04-16,Heating/Hot Water,493
2010-04-16,Homeless/Shelter,3
2010-04-16,Plumbing,343
2010-04-16,Water/Leak,138
2010-04-17,Boilers,6
2010-04-17,Heating/Hot Water,549
2010-04-17,Homeless/Shelter,4
2010-04-17,Plumbing,177
2010-04-17,Water/Leak,55
2010-04-18,Boilers,5
2010-04-18,Heating/Hot Water,556
2010-04-18,Homeless/Shelter,4
2010-04-18,Plumbing,116
2010-04-18,Water/Leak,67
2010-04-19,Boilers,5
2010-04-19,Heating/Hot Water,569
2010-04-19,Homeless/Shelter,4
2010-04-19,Plumbing,475
2010-04-19,Water/Leak,148
2010-04-20,Boilers,4
2010-04-20,Heating/Hot Water,243
2010-04-20,Homeless/Shelter,6
2010-04-20,Plumbing,329
2010-04-20,Water/Leak,172
2010-04-21,Boilers,2
2010-04-21,Heating/Hot Water,167
2010-04-21,Homeless/Shelter,5
2010-04-21,Plumbing,303
2010-04-21,Water/Leak,122
2010-04-22,Boilers,2
2010-04-22,Heating/Hot Water,171
2010-04-22,Homeless/Shelter,6
2010-04-22,Plumbing,362
2010-04-22,Water/Leak,148
2010-04-23,Boilers,6
2010-04-23,Heating/Hot Water,245
2010-04-23,Homeless/Shelter,4
2010-04-23,Plumbing,270
2010-04-23,Water/Leak,249
2010-04-24,Boilers,1
2010-04-24,Heating/Hot Water,190
2010-04-24,Homeless/Shelter,3
2010-04-24,Plumbing,162
2010-04-24,Water/Leak,79
2010-04-25,Boilers,4
2010-04-25,Heating/Hot Water,476
2010-04-25,Homeless/Shelter,2
2010-04-25,Plumbing,177
2010-04-25,Water/Leak,47
2010-04-26,Boilers,4
2010-04-26,Heating/Hot Water,554
2010-04-26,Homeless/Shelter,5
2010-04-26,Plumbing,478
2010-04-26,Water/Leak,75
2010-04-27,Boilers,8
2010-04-27,Heating/Hot Water,628
2010-04-27,Homeless/Shelter,10
2010-04-27,Plumbing,410
2010-04-27,Water/Leak,185
2010-04-28,Boilers,8
2010-04-28,Heating/Hot Water,973
2010-04-28,Homeless/Shelter,1
2010-04-28,Plumbing,352
2010-04-28,Water/Leak,119
2010-04-29,Boilers,5
2010-04-29,Heating/Hot Water,383
2010-04-29,Plumbing,270
2010-04-29,Water/Leak,147
2010-04-30,Boilers,1
2010-04-30,Heating/Hot Water,143
2010-04-30,Homeless/Shelter,4
2010-04-30,Plumbing,218
2010-04-30,Water/Leak,94
2010-05-01,Boilers,4
2010-05-01,Heating/Hot Water,114
2010-05-01,Homeless/Shelter,1
2010-05-01,Plumbing,121
2010-05-01,Water/Leak,89
2010-05-02,Heating/Hot Water,91
2010-05-02,Homeless/Shelter,6
2010-05-02,Plumbing,174
2010-05-02,Water/Leak,145
2010-05-03,Boilers,4
2010-05-03,Heating/Hot Water,144
2010-05-03,Homeless/Shelter,5
2010-05-03,Plumbing,515
2010-05-03,Water/Leak,133
2010-05-04,Boilers,4
2010-05-04,Heating/Hot Water,84
2010-05-04,Homeless/Shelter,14
2010-05-04,Plumbing,324
2010-05-04,Water/Leak,125
2010-05-05,Boilers,2
2010-05-05,Heating/Hot Water,80
2010-05-05,Homeless/Shelter,9
2010-05-05,Plumbing,332
2010-05-05,Water/Leak,135
2010-05-06,Boilers,3
2010-05-06,Heating/Hot Water,105
2010-05-06,Homeless/Shelter,3
2010-05-06,Plumbing,262
2010-05-06,Water/Leak,164
2010-05-07,Boilers,3
2010-05-07,Heating/Hot Water,80
2010-05-07,Homeless/Shelter,2
2010-05-07,Plumbing,223
2010-05-07,Water/Leak,133
2010-05-08,Boilers,2
2010-05-08,Heating/Hot Water,89
2010-05-08,Homeless/Shelter,3
2010-05-08,Plumbing,154
2010-05-08,Water/Leak,63
2010-05-09,Boilers,2
2010-05-09,Heating/Hot Water,530
2010-05-09,Homeless/Shelter,1
2010-05-09,Plumbing,108
2010-05-09,Water/Leak,79
2010-05-10,Boilers,7
2010-05-10,Heating/Hot Water,802
2010-05-10,Homeless/Shelter,4
2010-05-10,Plumbing,367
2010-05-10,Water/Leak,123
2010-05-11,Boilers,2
2010-05-11,Heating/Hot Water,812
2010-05-11,Homeless/Shelter,8
2010-05-11,Plumbing,304
2010-05-11,Water/Leak,276
2010-05-12,Boilers,4
2010-05-12,Heating/Hot Water,966
2010-05-12,Homeless/Shelter,5
2010-05-12,Plumbing,318
2010-05-12,Water/Leak,211
2010-05-13,Boilers,6
2010-05-13,Heating/Hot Water,337
2010-05-13,Homeless/Shelter,4
2010-05-13,Plumbing,282
2010-05-13,Water/Leak,136
2010-05-14,Boilers,2
2010-05-14,Heating/Hot Water,148
2010-05-14,Homeless/Shelter,4
2010-05-14,Plumbing,274
2010-05-14,Water/Leak,105
2010-05-15,Boilers,1
2010-05-15,Heating/Hot Water,73
2010-05-15,Homeless/Shelter,5
2010-05-15,Plumbing,146
2010-05-15,Water/Leak,81
2010-05-16,Heating/Hot Water,75
2010-05-16,Homeless/Shelter,1
2010-05-16,Plumbing,92
2010-05-16,Water/Leak,70
2010-05-17,Boilers,2
2010-05-17,Heating/Hot Water,86
2010-05-17,Homeless/Shelter,7
2010-05-17,Plumbing,360
2010-05-17,Water/Leak,135
2010-05-18,Heating/Hot Water,204
2010-05-18,Homeless/Shelter,5
2010-05-18,Plumbing,375
2010-05-18,Water/Leak,66
2010-05-19,Boilers,2
2010-05-19,Heating/Hot Water,172
2010-05-19,Homeless/Shelter,4
2010-05-19,Plumbing,324
2010-05-19,Water/Leak,101
2010-05-20,Boilers,2
2010-05-20,Heating/Hot Water,116
2010-05-20,Homeless/Shelter,6
2010-05-20,Plumbing,306
2010-05-20,Water/Leak,115
2010-05-21,Boilers,4
2010-05-21,Heating/Hot Water,72
2010-05-21,Homeless/Shelter,8
2010-05-21,Plumbing,253
2010-05-21,Snow/Ice,1
2010-05-21,Water/Leak,129
2010-05-22,Heating/Hot Water,63
2010-05-22,Homeless/Shelter,7
2010-05-22,Plumbing,144
2010-05-22,Water/Leak,66
2010-05-23,Heating/Hot Water,88
2010-05-23,Homeless/Shelter,3
2010-05-23,Plumbing,121
2010-05-23,Water/Leak,69
2010-05-24,Boilers,2
2010-05-24,Heating/Hot Water,107
2010-05-24,Homeless/Shelter,12
2010-05-24,Plumbing,348
2010-05-24,Water/Leak,156
2010-05-25,Boilers,2
2010-05-25,Heating/Hot Water,96
2010-05-25,Homeless/Shelter,9
2010-05-25,Plumbing,330
2010-05-25,Water/Leak,221
2010-05-26,Boilers,3
2010-05-26,Heating/Hot Water,79
2010-05-26,Homeless/Shelter,9
2010-05-26,Plumbing,346
2010-05-26,Water/Leak,468
2010-05-27,Boilers,3
2010-05-27,Heating/Hot Water,87
2010-05-27,Homeless/Shelter,7
2010-05-27,Plumbing,319
2010-05-27,Water/Leak,283
2010-05-28,Boilers,2
2010-05-28,Heating/Hot Water,83
2010-05-28,Homeless/Shelter,4
2010-05-28,Plumbing,222
2010-05-28,Water/Leak,153
2010-05-29,Boilers,2
2010-05-29,Heating/Hot Water,63
2010-05-29,Homeless/Shelter,3
2010-05-29,Plumbing,132
2010-05-29,Water/Leak,69
2010-05-30,Heating/Hot Water,48
2010-05-30,Homeless/Shelter,1
2010-05-30,Plumbing,98
2010-05-30,Water/Leak,130
2010-05-31,Boilers,4
2010-05-31,Heating/Hot Water,55
2010-05-31,Homeless/Shelter,5
2010-05-31,Plumbing,121
2010-05-31,Water/Leak,281
2010-06-01,Boilers,2
2010-06-01,Heating/Hot Water,73
2010-06-01,Homeless/Shelter,6
2010-06-01,Plumbing,350
2010-06-01,Water/Leak,215
2010-06-02,Boilers,2
2010-06-02,Heating/Hot Water,80
2010-06-02,Homeless/Shelter,7
2010-06-02,Plumbing,347
2010-06-02,Water/Leak,245
2010-06-03,Boilers,3
2010-06-03,Heating/Hot Water,60
2010-06-03,Homeless/Shelter,4
2010-06-03,Plumbing,344
2010-06-03,Water/Leak,385
2010-06-04,Boilers,2
2010-06-04,Heating/Hot Water,59
2010-06-04,Homeless/Shelter,5
2010-06-04,Plumbing,275
2010-06-04,Water/Leak,276
2010-06-05,Boilers,2
2010-06-05,Heating/Hot Water,54
2010-06-05,Homeless/Shelter,2
2010-06-05,Plumbing,140
2010-06-05,Water/Leak,234
2010-06-06,Heating/Hot Water,62
2010-06-06,Homeless/Shelter,2
2010-06-06,Plumbing,123
2010-06-06,Water/Leak,283
2010-06-07,Boilers,6
2010-06-07,Heating/Hot Water,95
2010-06-07,Homeless/Shelter,6
2010-06-07,Plumbing,342
2010-06-07,Water/Leak,291
2010-06-08,Boilers,4
2010-06-08,Heating/Hot Water,60
2010-06-08,Homeless/Shelter,6
2010-06-08,Plumbing,276
