month,category,borough,complaints
2011-03,Heating/Hot Water,STATEN ISLAND,179
2011-03,Heating/Hot Water,Unspecified,4468
2011-03,Homeless/Shelter,BRONX,11
2011-03,Homeless/Shelter,BROOKLYN,30
2011-03,Homeless/Shelter,MANHATTAN,51
2011-03,Homeless/Shelter,QUEENS,18
2011-03,Homeless/Shelter,STATEN ISLAND,5
2011-03,Plumbing,BRONX,2604
2011-03,Plumbing,BROOKLYN,3315
2011-03,Plumbing,MANHATTAN,1509
2011-03,Plumbing,QUEENS,1192
2011-03,Plumbing,STATEN ISLAND,188
2011-03,Plumbing,Unspecified,1706
2011-03,Snow/Ice,BRONX,7
2011-03,Snow/Ice,BROOKLYN,3
2011-03,Snow/Ice,MANHATTAN,2
2011-03,Snow/Ice,QUEENS,5
2011-03,Snow/Ice,STATEN ISLAND,3
2011-03,Water/Leak,BRONX,518
2011-03,Water/Leak,BROOKLYN,976
2011-03,Water/Leak,MANHATTAN,633
2011-03,Water/Leak,QUEENS,1295
2011-03,Water/Leak,STATEN ISLAND,446
2011-03,Water/Leak,Unspecified,1
2011-04,Boilers,BRONX,32
2011-04,Boilers,BROOKLYN,41
2011-04,Boilers,MANHATTAN,38
2011-04,Boilers,QUEENS,28
2011-04,Boilers,STATEN ISLAND,3
2011-04,Heating/Hot Water,BRONX,3340
2011-04,Heating/Hot Water,BROOKLYN,3830
2011-04,Heating/Hot Water,MANHATTAN,2830
2011-04,Heating/Hot Water,QUEENS,1679
2011-04,Heating/Hot Water,STATEN ISLAND,121
2011-04,Homeless/Shelter,BRONX,9
2011-04,Homeless/Shelter,BROOKLYN,33
2011-04,Homeless/Shelter,MANHATTAN,78
2011-04,Homeless/Shelter,QUEENS,15
2011-04,Homeless/Shelter,STATEN ISLAND,3
2011-04,Plumbing,BRONX,2395
2011-04,Plumbing,BROOKLYN,3351
2011-04,Plumbing,MANHATTAN,1289
2011-04,Plumbing,QUEENS,1131
2011-04,Plumbing,STATEN ISLAND,161
2011-04,Snow/Ice,BROOKLYN,1
2011-04,Snow/Ice,STATEN ISLAND,1
2011-04,Water/Leak,BRONX,381
2011-04,Water/Leak,BROOKLYN,860
2011-04,Water/Leak,MANHATTAN,600
2011-04,Water/Leak,QUEENS,1104
2011-04,Water/Leak,STATEN ISLAND,459
2011-04,Water/Leak,Unspecified,6
2011-05,Boilers,BRONX,26
2011-05,Boilers,BROOKLYN,19
2011-05,Boilers,MANHATTAN,24
2011-05,Boilers,QUEENS,14
2011-05,Heating/Hot Water,BRONX,1218
2011-05,Heating/Hot Water,BROOKLYN,1452
2011-05,Heating/Hot Water,MANHATTAN,1016
2011-05,Heating/Hot Water,QUEENS,627
2011-05,Heating/Hot Water,STATEN ISLAND,56
2011-05,Homeless/Shelter,BRONX,14
2011-05,Homeless/Shelter,BROOKLYN,44
2011-05,Homeless/Shelter,MANHATTAN,74
2011-05,Homeless/Shelter,QUEENS,17
2011-05,Homeless/Shelter,STATEN ISLAND,2
2011-05,Plumbing,BRONX,2446
2011-05,Plumbing,BROOKLYN,2773
2011-05,Plumbing,MANHATTAN,1316
2011-05,Plumbing,QUEENS,1103
2011-05,Plumbing,STATEN ISLAND,209
2011-05,Water/Leak,BRONX,594
2011-05,Water/Leak,BROOKLYN,941
2011-05,Water/Leak,MANHATTAN,797
2011-05,Water/Leak,QUEENS,1054
2011-05,Water/Leak,STATEN ISLAND,344
2011-05,Water/Leak,Unspecified,12
2011-06,Boilers,BRONX,12
2011-06,Boilers,BROOKLYN,24
2011-06,Boilers,MANHATTAN,13
2011-06,Boilers,QUEENS,18
2011-06,Boilers,STATEN ISLAND,1
2011-06,Heating/Hot Water,BRONX,562
2011-06,Heating/Hot Water,BROOKLYN,716
2011-06,Heating/Hot Water,MANHATTAN,440
2011-06,Heating/Hot Water,QUEENS,274
2011-06,Heating/Hot Water,STATEN ISLAND,55
2011-06,Homeless/Shelter,BRONX,14
2011-06,Homeless/Shelter,BROOKLYN,46
2011-06,Homeless/Shelter,MANHATTAN,114
2011-06,Homeless/Shelter,QUEENS,34
2011-06,Homeless/Shelter,STATEN ISLAND,2
2011-06,Homeless/Shelter,Unspecified,1
2011-06,Plumbing,BRONX,2401
2011-06,Plumbing,BROOKLYN,3031
2011-06,Plumbing,MANHATTAN,1321
2011-06,Plumbing,QUEENS,1099
2011-06,Plumbing,STATEN ISLAND,211
2011-06,Water/Leak,BRONX,2110
2011-06,Water/Leak,BROOKLYN,1822
2011-06,Water/Leak,MANHATTAN,1799
2011-06,Water/Leak,QUEENS,1906
2011-06,Water/Leak,STATEN ISLAND,374
2011-06,Water/Leak,Unspecified,69
2011-07,Boilers,BRONX,15
2011-07,Boilers,BROOKLYN,14
2011-07,Boilers,MANHATTAN,13
2011-07,Boilers,QUEENS,10
2011-07,Boilers,STATEN ISLAND,2
2011-07,Heating/Hot Water,BRONX,564
2011-07,Heating/Hot Water,BROOKLYN,698
2011-07,Heating/Hot Water,MANHATTAN,314
2011-07,Heating/Hot Water,QUEENS,184
2011-07,Heating/Hot Water,STATEN ISLAND,34
2011-07,Homeless/Shelter,BRONX,16
2011-07,Homeless/Shelter,BROOKLYN,60
2011-07,Homeless/Shelter,MANHATTAN,123
2011-07,Homeless/Shelter,QUEENS,23
2011-07,Homeless/Shelter,STATEN ISLAND,4
2011-07,Plumbing,BRONX,2614
2011-07,Plumbing,BROOKLYN,2967
2011-07,Plumbing,MANHATTAN,1383
2011-07,Plumbing,QUEENS,1061
2011-07,Plumbing,STATEN ISLAND,225
2011-07,Snow/Ice,MANHATTAN,1
2011-07,Snow/Ice,QUEENS,1
2011-07,Water/Leak,BRONX,5025
2011-07,Water/Leak,BROOKLYN,4086
2011-07,Water/Leak,MANHATTAN,3500
2011-07,Water/Leak,QUEENS,2653
2011-07,Water/Leak,STATEN ISLAND,325
2011-07,Water/Leak,Unspecified,271
2011-08,Boilers,BRONX,8
2011-08,Boilers,BROOKLYN,22
2011-08,Boilers,MANHATTAN,18
2011-08,Boilers,QUEENS,10
2011-08,Boilers,STATEN ISLAND,5
2011-08,Heating/Hot Water,BRONX,482
2011-08,Heating/Hot Water,BROOKLYN,700
2011-08,Heating/Hot Water,MANHATTAN,415
2011-08,Heating/Hot Water,QUEENS,302
2011-08,Heating/Hot Water,STATEN ISLAND,45
2011-08,Homeless/Shelter,BRONX,12
2011-08,Homeless/Shelter,BROOKLYN,34
2011-08,Homeless/Shelter,MANHATTAN,123
2011-08,Homeless/Shelter,QUEENS,30
2011-08,Homeless/Shelter,STATEN ISLAND,2
2011-08,Plumbing,BRONX,3025
2011-08,Plumbing,BROOKLYN,4263
2011-08,Plumbing,MANHATTAN,1838
2011-08,Plumbing,QUEENS,1651
2011-08,Plumbing,STATEN ISLAND,325
2011-08,Water/Leak,BRONX,1083
2011-08,Water/Leak,BROOKLYN,1417
2011-08,Water/Leak,MANHATTAN,862
2011-08,Water/Leak,QUEENS,1303
2011-08,Water/Leak,STATEN ISLAND,416
2011-08,Water/Leak,Unspecified,45
2011-09,Boilers,BRONX,11
2011-09,Boilers,BROOKLYN,34
2011-09,Boilers,MANHATTAN,20
2011-09,Boilers,QUEENS,19
2011-09,Boilers,STATEN ISLAND,4
2011-09,Heating/Hot Water,BRONX,674
2011-09,Heating/Hot Water,BROOKLYN,762
2011-09,Heating/Hot Water,MANHATTAN,430
2011-09,Heating/Hot Water,QUEENS,260
2011-09,Heating/Hot Water,STATEN ISLAND,72
2011-09,Homeless/Shelter,BRONX,12
2011-09,Homeless/Shelter,BROOKLYN,51
2011-09,Homeless/Shelter,MANHATTAN,145
2011-09,Homeless/Shelter,QUEENS,34
2011-09,Homeless/Shelter,STATEN ISLAND,5
2011-09,Plumbing,BRONX,3585
2011-09,Plumbing,BROOKLYN,4848
2011-09,Plumbing,MANHATTAN,2348
2011-09,Plumbing,QUEENS,1728
2011-09,Plumbing,STATEN ISLAND,394
2011-09,Water/Leak,BRONX,328
2011-09,Water/Leak,BROOKLYN,1090
2011-09,Water/Leak,MANHATTAN,564
2011-09,Water/Leak,QUEENS,1352
2011-09,Water/Leak,STATEN ISLAND,411
2011-09,Water/Leak,Unspecified,25
2011-10,Boilers,BRONX,28
2011-10,Boilers,BROOKLYN,65
2011-10,Boilers,MANHATTAN,51
2011-10,Boilers,QUEENS,29
2011-10,Boilers,STATEN ISLAND,7
2011-10,Heating/Hot Water,BRONX,5967
2011-10,Heating/Hot Water,BROOKLYN,7468
2011-10,Heating/Hot Water,MANHATTAN,5385
2011-10,Heating/Hot Water,QUEENS,3040
2011-10,Heating/Hot Water,STATEN ISLAND,319
2011-10,Homeless/Shelter,BRONX,15
2011-10,Homeless/Shelter,BROOKLYN,34
2011-10,Homeless/Shelter,MANHATTAN,99
2011-10,Homeless/Shelter,QUEENS,21
2011-10,Homeless/Shelter,STATEN ISLAND,3
2011-10,Plumbing,BRONX,3206
2011-10,Plumbing,BROOKLYN,4005
2011-10,Plumbing,MANHATTAN,2042
2011-10,Plumbing,QUEENS,1571
2011-10,Plumbing,STATEN ISLAND,283
2011-10,Snow/Ice,BRONX,2
2011-10,Water/Leak,BRONX,367
2011-10,Water/Leak,BROOKLYN,772
2011-10,Water/Leak,MANHATTAN,436
2011-10,Water/Leak,QUEENS,1263
2011-10,Water/Leak,STATEN ISLAND,380
2011-10,Water/Leak,Unspecified,18
2011-11,Boilers,BRONX,61
